customer_id,customer_name,mobile,city,customer_type,join_date,email
113,Alka Savant,2801505637,Ahmedabad,Wholesale,2023-08-25,kashish09@example.net
114,Anamika Baral,2935080761,Jamnagar,Retail,2025-05-22,amruta18@example.com
115,Urishilla Amble,8182922940,Bharuch,Wholesale,2025-07-19,bajajatharv@example.org
116,Ekansh Kala,335882792,Rajkot,Retail,2023-11-26,ishadewan@example.net
117,Teerth Patla,88750799,Bhavnagar,Retail,2025-02-24,wgade@example.com
118,Gagan Minhas,7901217479,Gandhinagar,Retail,2025-12-18,qkarpe@example.org
119,Zansi Garde,2027409576,Anand,Retail,2025-08-07,bajwanitara@example.net
120,Ekalinga Tank,1806157981,Gandhinagar,Wholesale,2024-06-26,tanejayagnesh@example.net
121,Gopal Keer,6285872503,Vadodara,Retail,2024-05-06,januja50@example.com
122,Ekaja Basu,9696945479,Bharuch,Wholesale,2024-08-15,vigyug@example.com
123,Advaith Dugal,9454878076,Surat,Retail,2024-03-24,shravyaluthra@example.org
124,Warhi Natarajan,4276170292,Rajkot,Retail,2023-08-20,zpatla@example.org
125,Lopa Prashad,4298826156,Rajkot,Wholesale,2024-04-28,deepasem@example.com
126,Henry Gara,5449409499,Gandhinagar,Retail,2026-07-03,chandanoah@example.com
127,Upasna Wable,3459486606,Bharuch,Wholesale,2023-10-09,goswamibenjamin@example.net
128,Daniel Kalita,7589248458,Bhavnagar,Wholesale,2024-09-29,radhakrishnanvasana@example.net
129,Kai Karan,3712092138,Ahmedabad,Retail,2024-10-14,om19@example.net
130,Darika Rai,4974800212,Ahmedabad,Wholesale,2024-07-26,sastryteerth@example.net
131,Chanakya Sunder,7174785145,Bhavnagar,Wholesale,2026-02-10,dinyamini@example.net
132,Samesh Shan,1096142351,Surat,Wholesale,2026-03-15,chakradev21@example.org
133,Divya Mahajan,8611673047,Rajkot,Retail,2023-07-28,kariqadim@example.org
134,Rachit Raja,4845899051,Vadodara,Retail,2025-03-12,dsridhar@example.org
135,Alexander Nayar,4865548948,Rajkot,Retail,2026-02-18,aadhya15@example.com
136,Guneet Lal,7512743547,Ahmedabad,Wholesale,2026-04-07,sanetimothy@example.com
137,Omisha Modi,1598340152,Vapi,Wholesale,2025-10-09,wyatt55@example.com
138,Gaurang Natarajan,7198903285,Ahmedabad,Retail,2023-10-28,chaitanyatella@example.org
139,Mohini Pau,3514218178,Jamnagar,Retail,2024-08-26,pranitray@example.net
140,Finn Venkatesh,8339167430,Ahmedabad,Wholesale,2024-03-11,zansimannan@example.org
141,Nidra Kadakia,5678514388,Ahmedabad,Wholesale,2024-11-21,bhavanioommen@example.org
142,Pavani Mital,9137531783,Ahmedabad,Wholesale,2024-03-31,sachdevawatika@example.net
143,Saumya Ahuja,2611677477,Surat,Wholesale,2025-07-26,samuel11@example.com
144,Lohit Vora,693587686,Bharuch,Retail,2023-10-10,tlal@example.net
145,Bhavini Dara,1680014373,Vapi,Wholesale,2025-03-15,ganga45@example.com
146,Dhriti Sant,5555873772,Vapi,Retail,2023-07-26,anshchadha@example.com
147,Triveni Loke,2615976979,Vapi,Retail,2023-07-16,asengupta@example.net
148,Upadhriti Banerjee,9522023701,Surat,Wholesale,2023-09-19,gvohra@example.com
149,Laban Ben,160387517,Bhavnagar,Wholesale,2025-09-17,atara@example.org
150,Sachi Mammen,2342995143,Gandhinagar,Retail,2024-07-18,aayushborde@example.net
151,Chakradev Swaminathan,3376280487,Vapi,Retail,2025-04-09,suranikita@example.com
152,Faraj Hora,4089172698,Ahmedabad,Retail,2026-07-02,tejasarora@example.org
153,Upma Bhat,162879774,Bharuch,Retail,2026-04-07,watika82@example.net
154,Chanakya Ganesan,7647325871,Vadodara,Wholesale,2025-03-18,sharafryan@example.net
155,Ekta Devi,4823870039,Surat,Retail,2023-07-24,xsavant@example.org
156,Shravya Solanki,8211890113,Bhavnagar,Wholesale,2026-07-08,avideshmukh@example.net
157,Girindra Sethi,5259540935,Ahmedabad,Wholesale,2025-11-09,dakshadeol@example.org
158,Bakhshi Ratta,257493176,Gandhinagar,Retail,2024-12-22,ahluwaliaikshita@example.net
159,Pooja Tella,7428011636,Jamnagar,Wholesale,2026-03-02,gthaker@example.org
160,Yochana Gole,6311624248,Jamnagar,Wholesale,2025-10-15,bhavyakalita@example.com
161,Leena Oommen,6940823453,Anand,Retail,2024-09-14,nehabhargava@example.net
162,Ekalinga Sami,3851949772,Gandhinagar,Retail,2026-03-31,lukevora@example.org
163,Charita Ganguly,91187998,Vapi,Wholesale,2026-07-07,lakshmi16@example.org
164,Dalaja Roy,6865505863,Surat,Wholesale,2025-09-05,doshihemangini@example.com
165,Ishani Rao,8655556533,Bhavnagar,Wholesale,2023-08-10,devikakade@example.net
166,Tanay Nath,4327732261,Vadodara,Retail,2026-03-13,indrajit96@example.org
167,Yadavi Nadig,4878792058,Anand,Wholesale,2024-02-28,dalbir26@example.org
168,Akshay Luthra,9167378584,Vadodara,Retail,2025-12-25,emisra@example.com
169,Kala Kapoor,4355813914,Ahmedabad,Retail,2025-07-19,annegagan@example.com
170,Sanaya Venkatesh,728264751,Vadodara,Wholesale,2026-06-11,forum27@example.org
171,Advay Dalal,8564426359,Bharuch,Wholesale,2026-06-29,deeparajagopal@example.com
172,Falguni Rattan,1684967431,Gandhinagar,Wholesale,2024-12-17,tshroff@example.com
173,Anamika Mander,8084066312,Surat,Retail,2025-01-24,garima75@example.net
174,Anthony Raghavan,5047016455,Vadodara,Wholesale,2023-12-04,madhavbansal@example.org
175,Onkar Dhillon,2989762427,Surat,Wholesale,2025-02-21,fitandewan@example.net
176,Aarav Kapadia,5872352468,Bharuch,Retail,2023-07-14,siddharth88@example.com
177,Yoshita Bhargava,3924813987,Jamnagar,Wholesale,2024-08-18,vivaanbuch@example.com
178,Rajata Basak,1342277548,Jamnagar,Wholesale,2023-09-26,msampath@example.net
179,Henry Palan,6863548728,Jamnagar,Retail,2025-07-15,mdara@example.net
180,Radha Thakkar,879553046,Vadodara,Retail,2024-11-28,gunbir46@example.com
181,Samar Dubey,2323480146,Gandhinagar,Retail,2026-03-07,ichaudhary@example.net
182,Fariq Agate,5041268898,Jamnagar,Retail,2025-09-23,lilaiyer@example.com
183,Arya Chowdhury,4199336071,Rajkot,Retail,2025-03-08,rmurty@example.net
184,Faqid Kannan,653953033,Vadodara,Wholesale,2023-08-01,uthaman@example.net
185,Ekantika Korpal,54230411,Rajkot,Wholesale,2024-10-27,shaurya48@example.com
186,Christopher Mital,7436593447,Bhavnagar,Retail,2026-01-21,fiyazwason@example.com
187,Gautam Bansal,4578573264,Bhavnagar,Retail,2026-01-03,nathanielbuch@example.org
188,Parth Gala,1598676737,Surat,Retail,2024-10-17,kumerzinal@example.net
189,Liam Mammen,3855509252,Bhavnagar,Retail,2025-04-04,chamankaul@example.org
190,Chandresh Raja,6342080184,Bhavnagar,Retail,2025-11-09,devansh00@example.com
191,Daksh Sharaf,173346362,Vapi,Wholesale,2026-04-22,baljiwanbatta@example.net
192,Parth Soni,2051624358,Bhavnagar,Retail,2025-07-16,dakshsura@example.com
193,Finn Dhar,6550263175,Bhavnagar,Wholesale,2025-03-03,ikunda@example.net
194,Warhi Mannan,3168018563,Surat,Retail,2023-12-21,xbasak@example.org
195,Dipta Dube,3013083561,Vadodara,Retail,2023-10-10,msarkar@example.com
196,Megha Sachdev,7562634508,Vadodara,Retail,2026-02-27,darpanbajwa@example.org
197,Wriddhish Choudhry,9088664950,Vadodara,Retail,2024-07-22,handaadvika@example.net
198,Daniel Bhattacharyya,1222272388,Ahmedabad,Wholesale,2023-08-22,naveennori@example.net
199,William Karpe,1060183319,Vapi,Retail,2025-03-03,hemabains@example.com
200,Chaitaly Batra,9101801340,Surat,Retail,2024-11-30,damyantisastry@example.com
201,Widisha Merchant,4893287940,Anand,Retail,2025-02-25,hamsini80@example.net
202,Ekanta Borde,9194514907,Vadodara,Retail,2025-04-25,gaurav96@example.com
203,Kabir Rege,4349547049,Surat,Wholesale,2025-08-26,duabachittar@example.org
204,Kamya Ramanathan,442701072,Gandhinagar,Wholesale,2026-02-20,adyasubramanian@example.org
205,Januja Dass,9227993290,Jamnagar,Retail,2025-06-15,prishachanda@example.com
206,Tristan Dugar,4466000710,Bharuch,Wholesale,2024-09-07,ekaja79@example.org
207,Bakhshi Virk,9062310609,Jamnagar,Wholesale,2026-01-25,krishsheth@example.org
208,Zashil Sachdev,5497495134,Gandhinagar,Retail,2025-11-12,yashbajaj@example.com
209,Mitesh Grover,3080557231,Surat,Wholesale,2024-08-01,faraj05@example.net
210,Aradhana Chandran,7107650598,Bharuch,Wholesale,2023-09-15,indrajit36@example.com
211,Kashvi Mand,8410294271,Bhavnagar,Retail,2025-03-16,kalachavvi@example.org
212,Jonathan Mitter,2028604524,Vapi,Wholesale,2025-10-31,kpillay@example.net
213,Aishani Dalal,3153874692,Rajkot,Wholesale,2025-04-03,qadim97@example.net
214,Vanya Palla,1028075002,Anand,Retail,2024-06-15,yatan62@example.org
215,Sai Amble,449571791,Anand,Wholesale,2025-04-13,triptimishra@example.com
216,Nisha Gill,5022535839,Rajkot,Retail,2023-09-21,fghosh@example.com
217,Yamini Kibe,4743697702,Anand,Retail,2025-05-25,gchatterjee@example.net
218,Fiyaz Arora,6824424582,Anand,Wholesale,2023-09-12,ramaraksha@example.net
219,Rehaan Pau,2195678173,Vadodara,Retail,2026-04-15,subramaniamriya@example.com
220,Hemang Dasgupta,395964228,Vapi,Wholesale,2026-01-09,gpadmanabhan@example.com
221,Chandani Dhaliwal,2741066893,Bharuch,Wholesale,2023-11-14,rajeshri81@example.net
222,Tripti Oak,71270753,Anand,Retail,2023-11-04,krishguneet@example.net
223,Rajeshri Ravi,5976705621,Rajkot,Retail,2026-04-10,hnori@example.net
224,Gunbir Deshmukh,8982342186,Surat,Wholesale,2024-05-26,sureshfaqid@example.com
225,Rishi Mammen,2136051323,Rajkot,Wholesale,2024-08-11,psheth@example.com
226,Vrinda Bassi,738994754,Vapi,Wholesale,2023-09-15,aayushgade@example.net
227,Neelima Ramaswamy,1474416692,Gandhinagar,Retail,2024-11-10,calebpalla@example.com
228,Guneet Tailor,5766594163,Bhavnagar,Wholesale,2024-01-05,ekansh97@example.com
229,Vaishnavi Joshi,902948177,Bhavnagar,Wholesale,2024-08-16,ekapad32@example.org
230,Bhanumati Nagi,2069820261,Ahmedabad,Retail,2023-12-12,ksidhu@example.com
231,Irya Tandon,2866684378,Bharuch,Wholesale,2025-08-30,saranpranit@example.org
232,Yashoda Rattan,6417131916,Bharuch,Wholesale,2025-06-03,zilmil27@example.net
233,Andrew Mutti,8138089075,Vadodara,Wholesale,2025-02-20,parsayashica@example.org
234,Wakeeta Vohra,2030466109,Rajkot,Wholesale,2023-11-05,benjamin50@example.com
235,Ekavir Goyal,3415857681,Ahmedabad,Wholesale,2024-12-31,mitali03@example.net
236,Mohammed De,9428161587,Surat,Wholesale,2025-03-23,anmol20@example.net
237,Indali Gulati,5893086493,Gandhinagar,Wholesale,2023-08-14,tmander@example.com
238,Triveni Mani,9274747570,Rajkot,Retail,2025-04-02,tanishben@example.com
239,Rachita Gala,9150449369,Bharuch,Wholesale,2026-06-01,maya59@example.org
240,Liam Kapoor,2193800313,Vadodara,Retail,2025-01-06,ukurian@example.net
241,Nidhi Chahal,136795515,Surat,Wholesale,2026-07-07,bakshinandini@example.com
242,Unni Deshmukh,3925798572,Gandhinagar,Wholesale,2024-03-19,rayaanbhatt@example.net
243,Harinakshi Aurora,9591350834,Rajkot,Wholesale,2023-11-18,triveni92@example.net
244,Victor Atwal,7940887928,Anand,Retail,2024-07-20,jagratimerchant@example.com
245,Mohini Radhakrishnan,6501184728,Rajkot,Wholesale,2025-06-10,qadim33@example.net
246,Ekta Chadha,3700285531,Vadodara,Wholesale,2023-12-30,vasana87@example.org
247,Radhika Behl,9169727528,Vadodara,Retail,2026-04-03,odika97@example.net
248,Umang Venkataraman,5110817233,Bhavnagar,Wholesale,2024-07-01,avnicontractor@example.net
249,Chavvi Dhar,5315190461,Bharuch,Wholesale,2023-07-16,tdube@example.org
250,Gautam Acharya,2723513473,Gandhinagar,Retail,2025-09-13,trivenikala@example.com
251,Chandani Savant,7460751507,Gandhinagar,Wholesale,2025-04-17,lbhargava@example.org
252,Chandani Gour,2081558364,Surat,Retail,2023-11-18,kiaan76@example.com
253,Chavvi Dewan,4584429076,Bharuch,Retail,2025-07-06,qrandhawa@example.com
254,Thomas Vohra,3714976574,Rajkot,Wholesale,2023-11-08,devika77@example.net
255,Radhika Sridhar,9990321968,Gandhinagar,Retail,2025-01-18,ravaldayamai@example.com
256,Adweta Tripathi,773399501,Ahmedabad,Retail,2024-05-05,gswamy@example.com
257,Vasudha Chaudry,1061833347,Anand,Retail,2025-06-27,yashodasachar@example.com
258,Sathvik Sen,3722329033,Gandhinagar,Wholesale,2023-08-16,rachita10@example.net
259,Divya Shetty,5407831936,Bharuch,Wholesale,2024-07-17,njoshi@example.org
260,Onveer Patel,2197294246,Bharuch,Retail,2024-07-24,harshilraj@example.com
261,Vrishti Contractor,2266981684,Bhavnagar,Wholesale,2025-11-24,damyantigala@example.net
262,Saanvi Apte,7085160189,Bharuch,Retail,2026-04-19,ramanathanjackson@example.net
263,Anirudh Mohanty,2968688101,Bharuch,Wholesale,2025-02-17,gvarty@example.org
264,Dipta Kothari,2278301396,Surat,Retail,2023-11-16,aahanabhattacharyya@example.net
265,Jeevika Prasad,5989287490,Bharuch,Wholesale,2023-11-03,jagvimall@example.org
266,Warda Edwin,6479607697,Anand,Wholesale,2023-09-23,rachita23@example.com
267,Kiaan Sethi,7273827428,Bharuch,Wholesale,2026-02-13,omaja74@example.org
268,Falguni Borde,67821834,Rajkot,Retail,2024-07-06,tankyahvi@example.org
269,Mohammed Tiwari,9560911524,Bharuch,Retail,2026-05-29,keerlajita@example.com
270,Baghyawati Rout,515535733,Bharuch,Wholesale,2026-01-29,amol32@example.org
271,Thomas Mand,306667040,Jamnagar,Retail,2025-07-25,gyadav@example.net
272,Lekha Kapadia,1661551976,Surat,Retail,2023-12-04,ekavir44@example.com
273,Owen Pathak,3423196056,Anand,Retail,2026-05-14,andrakai@example.com
274,Baljiwan Bal,8914348837,Jamnagar,Wholesale,2025-10-26,balendra89@example.com
275,Girish Ganesh,7925952377,Surat,Wholesale,2023-07-11,dalaja62@example.net
276,Kabir Menon,3513337720,Rajkot,Retail,2024-04-22,patilsneha@example.com
277,Frado Sharma,7439783159,Vapi,Retail,2024-08-10,maanav44@example.org
278,Aditya Sharaf,352359730,Jamnagar,Wholesale,2024-03-10,kala43@example.net
279,Tristan Taneja,8993003441,Ahmedabad,Wholesale,2026-02-07,lsarraf@example.com
280,Neel Maharaj,6693125309,Anand,Retail,2023-09-07,aratta@example.net
281,Balhaar Chowdhury,9067849031,Jamnagar,Retail,2026-07-08,jaigala@example.com
282,Megha Walia,3117172007,Vapi,Wholesale,2025-01-10,janirachita@example.net
283,Shaurya Krish,7284133492,Bhavnagar,Wholesale,2024-09-27,jkarnik@example.org
284,Chakradhar Sood,1816741038,Jamnagar,Retail,2024-09-12,bahrivarenya@example.net
285,Amara Raj,5983243030,Vadodara,Wholesale,2023-10-08,nrastogi@example.net
286,Varenya Deol,9430302885,Rajkot,Retail,2024-12-21,chaudharyfaraj@example.net
287,Kamya Sarkar,3134747492,Anand,Wholesale,2025-08-22,nandiniborra@example.org
288,Harita Singhal,4323118581,Surat,Retail,2024-02-22,viraj05@example.net
289,Jhalak Goyal,7438000426,Surat,Retail,2024-07-26,jaibhandari@example.org
290,Sudiksha Rama,2991073244,Anand,Retail,2024-03-17,broy@example.org
291,Vasatika Gade,9927225425,Jamnagar,Wholesale,2026-03-09,zbassi@example.net
292,Falan Uppal,9147088817,Gandhinagar,Wholesale,2024-12-26,anirudh67@example.net
293,Balhaar D’Alia,8322998087,Anand,Wholesale,2024-01-07,raumugdha@example.org
294,Chameli Sama,5969985273,Surat,Wholesale,2025-07-20,luthradakshesh@example.net
295,Yug Desai,1536943891,Surat,Wholesale,2025-05-18,triveni86@example.com
296,Nachiket Bhardwaj,1387687209,Rajkot,Retail,2026-06-24,vmahal@example.org
297,Ekansh Mall,6752899966,Anand,Retail,2025-09-06,vbatta@example.com
298,Logan Nadkarni,959096939,Bharuch,Retail,2024-06-14,bhavini71@example.org
299,Bhavani Kar,2435097095,Jamnagar,Retail,2026-01-23,knatarajan@example.com
300,Ekansh Contractor,4981920997,Anand,Retail,2024-04-01,lopa71@example.net
301,Hitesh Date,80281733,Gandhinagar,Wholesale,2026-04-01,tanvirajagopalan@example.net
302,Netra Atwal,9593998919,Bhavnagar,Wholesale,2026-07-07,zhora@example.net
303,Maanas Khurana,806130239,Bhavnagar,Retail,2025-09-20,davidarora@example.net
304,Eta Agrawal,4422371492,Jamnagar,Wholesale,2025-06-22,sampathchanchal@example.com
305,Rushil Sachdev,1789773833,Vapi,Wholesale,2025-05-10,bhavini93@example.org
306,Manya Pillay,9273296945,Jamnagar,Retail,2024-12-23,warinderlad@example.com
307,Anvi Apte,3985344338,Anand,Wholesale,2024-08-13,parth96@example.com
308,Ojas Roy,3135880723,Vadodara,Retail,2023-10-21,orinderkale@example.com
309,Anvi Vasa,2846590307,Ahmedabad,Retail,2025-07-29,chanalogan@example.org
310,Qasim Kala,8268610996,Ahmedabad,Wholesale,2023-07-26,omishra@example.com
311,Rayaan Bava,5553580345,Bhavnagar,Retail,2023-08-16,indira58@example.org
312,Krishna Ramanathan,3437908880,Vadodara,Retail,2024-01-03,deolwridesh@example.net
313,Fiyaz Goyal,8427087999,Ahmedabad,Retail,2026-01-18,aradhananarayanan@example.net
314,Brijesh Mitter,2711193266,Surat,Retail,2023-10-15,ishita58@example.org
315,Aradhana Kade,6818339569,Vadodara,Retail,2025-08-26,diptaraman@example.com
316,Urvashi Pillai,1438180083,Vadodara,Retail,2024-03-06,indalisethi@example.org
